date_key,year,quarter,month,month_name,week_of_year,day_of_month,day_name,year_quarter,year_month
2014-11-04 00:00:00,2014,4,11,November,45,4,Tuesday,2014-Q4,2014-11
2014-11-05 00:00:00,2014,4,11,November,45,5,Wednesday,2014-Q4,2014-11
2014-11-06 00:00:00,2014,4,11,November,45,6,Thursday,2014-Q4,2014-11
2014-11-07 00:00:00,2014,4,11,November,45,7,Friday,2014-Q4,2014-11
2014-11-08 00:00:00,2014,4,11,November,45,8,Saturday,2014-Q4,2014-11
2014-11-09 00:00:00,2014,4,11,November,45,9,Sunday,2014-Q4,2014-11
2014-11-10 00:00:00,2014,4,11,November,46,10,Monday,2014-Q4,2014-11
2014-11-11 00:00:00,2014,4,11,November,46,11,Tuesday,2014-Q4,2014-11
2014-11-12 00:00:00,2014,4,11,November,46,12,Wednesday,2014-Q4,2014-11
2014-11-14 00:00:00,2014,4,11,November,46,14,Friday,2014-Q4,2014-11
2014-11-15 00:00:00,2014,4,11,November,46,15,Saturday,2014-Q4,2014-11
2014-11-16 00:00:00,2014,4,11,November,46,16,Sunday,2014-Q4,2014-11
2014-11-17 00:00:00,2014,4,11,November,47,17,Monday,2014-Q4,2014-11
2014-11-18 00:00:00,2014,4,11,November,47,18,Tuesday,2014-Q4,2014-11
2014-11-19 00:00:00,2014,4,11,November,47,19,Wednesday,2014-Q4,2014-11
2014-11-20 00:00:00,2014,4,11,November,47,20,Thursday,2014-Q4,2014-11
2014-11-21 00:00:00,2014,4,11,November,47,21,Friday,2014-Q4,2014-11
2014-11-22 00:00:00,2014,4,11,November,47,22,Saturday,2014-Q4,2014-11
2014-11-23 00:00:00,2014,4,11,November,47,23,Sunday,2014-Q4,2014-11
2014-11-24 00:00:00,2014,4,11,November,48,24,Monday,2014-Q4,2014-11
2014-11-25 00:00:00,2014,4,11,November,48,25,Tuesday,2014-Q4,2014-11
2014-11-26 00:00:00,2014,4,11,November,48,26,Wednesday,2014-Q4,2014-11
2014-11-27 00:00:00,2014,4,11,November,48,27,Thursday,2014-Q4,2014-11
2014-11-28 00:00:00,2014,4,11,November,48,28,Friday,2014-Q4,2014-11
2014-11-29 00:00:00,2014,4,11,November,48,29,Saturday,2014-Q4,2014-11
2014-11-30 00:00:00,2014,4,11,November,48,30,Sunday,2014-Q4,2014-11
2014-12-01 00:00:00,2014,4,12,December,49,1,Monday,2014-Q4,2014-12
2014-12-02 00:00:00,2014,4,12,December,49,2,Tuesday,2014-Q4,2014-12
2014-12-03 00:00:00,2014,4,12,December,49,3,Wednesday,2014-Q4,2014-12
2014-12-04 00:00:00,2014,4,12,December,49,4,Thursday,2014-Q4,2014-12
2014-12-05 00:00:00,2014,4,12,December,49,5,Friday,2014-Q4,2014-12
2014-12-06 00:00:00,2014,4,12,December,49,6,Saturday,2014-Q4,2014-12
2014-12-07 00:00:00,2014,4,12,December,49,7,Sunday,2014-Q4,2014-12
2014-12-08 00:00:00,2014,4,12,December,50,8,Monday,2014-Q4,2014-12
2014-12-09 00:00:00,2014,4,12,December,50,9,Tuesday,2014-Q4,2014-12
2014-12-10 00:00:00,2014,4,12,December,50,10,Wednesday,2014-Q4,2014-12
2014-12-12 00:00:00,2014,4,12,December,50,12,Friday,2014-Q4,2014-12
2014-12-13 00:00:00,2014,4,12,December,50,13,Saturday,2014-Q4,2014-12
2014-12-14 00:00:00,2014,4,12,December,50,14,Sunday,2014-Q4,2014-12
2014-12-15 00:00:00,2014,4,12,December,51,15,Monday,2014-Q4,2014-12
2014-12-16 00:00:00,2014,4,12,December,51,16,Tuesday,2014-Q4,2014-12
2014-12-17 00:00:00,2014,4,12,December,51,17,Wednesday,2014-Q4,2014-12
2014-12-19 00:00:00,2014,4,12,December,51,19,Friday,2014-Q4,2014-12
2014-12-20 00:00:00,2014,4,12,December,51,20,Saturday,2014-Q4,2014-12
2014-12-21 00:00:00,2014,4,12,December,51,21,Sunday,2014-Q4,2014-12
2014-12-22 00:00:00,2014,4,12,December,52,22,Monday,2014-Q4,2014-12
2014-12-23 00:00:00,2014,4,12,December,52,23,Tuesday,2014-Q4,2014-12
2014-12-24 00:00:00,2014,4,12,December,52,24,Wednesday,2014-Q4,2014-12
2014-12-26 00:00:00,2014,4,12,December,52,26,Friday,2014-Q4,2014-12
